Q,A
"그런 뜻이 아니었어, 인생에서.","살면서? 계속 살면서 술도 잘 마시고 좋은 젊은 여자도 사주고 돈 몇 푼 벌어서 사람들을 웃게 할 거야. 내가 항상 너희 깜둥이를 연예인이라고 하지 않았니? 문제는 어떻게 할 것이냐 하는 거야, 비길 데 없는?"
그를 침대로 데려갑시다.,"자기야, 넌 나를 너무 잘 대해줘. 비길 데 없이, 넌 좋은 아들이야, 사랑해. 넌 나에게 아무런 문제도 주지 않았어."
"저도 사랑해요, 아빠.",항상 웃게 해
저도 반갑습니다. 너는 모두 네 아버지가 말하는 것이다.,그런가요?
우리 아버지는 얼마나 오래 이렇게 지내셨을까?,그렇게 자주 있는 것은 아니다. 그는 너를 보고 흥분했다.
그렇게 자주 있는 것은 아니다. 그는 너를 보고 흥분했다.,그래서 그는 술을 마시고 얼간이가 된거야?
그래서 그는 술을 마시고 얼간이가 된거야?,"술 마시는 것은 고통을 위한 것이다. 그것은 그것을 죽이지 않고, 그저 둔하게 할 뿐이다."
"술 마시는 것은 고통을 위한 것이다. 그것은 그것을 죽이지 않고, 그저 둔하게 할 뿐이다.",그래서 왜 그래?
그래서 왜 그래?,"난 이 클럽의 호스티스였고, 네 아빠는 공연을 하고 있었고, 난 평생 그렇게 심하게 웃은 적이 없었어. 그는 나에게 같이 가자고 했다. 나는 직장을 그만뒀고 그 이후로 계속 같이 있어왔어."
내가 보낸 거라고 말하지 마. 안 받아줄 거라고.,네 아버지는 널 자랑스러워해
그는 그것을 보여주지 않았다.,"그는 그가 알고 있는 최선의 방법을 했어, 준버그는 너처럼 고집불통이야."
어땠어?,왜 나한테 이 직원 회의에 대해 얘기 안 했어?
왜 나한테 이 직원 회의에 대해 얘기 안 했어?,아무도 나에게 아무것도 말해주지 않았다.
아무도 나에게 아무것도 말해주지 않았다.,이런 얘기 안 하면 무슨 소용이야?
이런 얘기 안 하면 무슨 소용이야?,내 잘못이 아니었어. 알았으면 알았을 텐데.
맨레이!,맨레이!
어떻게 알았어?,그것은 나를 몹시 때렸다.
그것은 나를 몹시 때렸다.,"어떻게 이럴 수가 있지? 너와 나, 같은 시간에, 정확히 같은 생각이었어. 무섭다."
"어떻게 이럴 수가 있지? 너와 나, 같은 시간에, 정확히 같은 생각이었어. 무섭다.",그 아이디어는 우주에 있었다. 자 이제는 뭐죠?
맨레이는 내내 우리 코밑에 있었다.,너는 그를 어떻게 사용할지 아니?
너는 그를 어떻게 사용할지 아니?,"아직은 아니지만, 이건 절대 만들어지지 않을 거야."
넌 날 잃었어.,"던위티는 코온 쇼를 원한다. 그리고 그것이 내가 그에게 줄 것이고, 그것은 매우 인종차별적이 될 것이고, 그래서 부정적으로, 그는 그것을 방송에 내보낼 용기가 없을 것이다. 그러므로 나는 내 요점을 증명할 것이다."
"던위티는 코온 쇼를 원한다. 그리고 그것이 내가 그에게 줄 것이고, 그것은 매우 인종차별적이 될 것이고, 그래서 부정적으로, 그는 그것을 방송에 내보낼 용기가 없을 것이다. 그러므로 나는 내 요점을 증명할 것이다.",그게 무슨 소용이야?
그게 무슨 소용이야?,"요점은, 방송사들은 흑인들이 완충이 아니면 텔레비전에 나오는 것을 원하지 않는다는 것이다."
"요점은, 방송사들은 흑인들이 완충이 아니면 텔레비전에 나오는 것을 원하지 않는다는 것이다.",위험하게 들리네
위험하게 들리네,겁먹었어?
겁먹었어?,난 끝까지 할 거야.
난 끝까지 할 거야.,"좋아, 네 도움이 필요해"
"좋아, 네 도움이 필요해",그만둘 수 없어? 가버렸다고?
그만둘 수 없어? 가버렸다고?,그리고 내 돈을 잃을까? 내가 돈을 받는 유일한 방법은 해고되는 것이다. 그리고 그것이 내가 하고자 하는 것이다.
어쩌면 그들에게 무슨 일이 일어났는지도 모른다. 어쩌면 그들은 골목에 누워 피를 흘리며 죽어가는 것인지도 모른다.,"맨레이는 피를 흘리며 죽어서는 안 된다. 난 그가 필요하다. 우리가 끝난 후에 그는 그가 하고 싶은 것은 무엇이든지 할 수 있다. 그때까지, 그는 우리의 것이다."
여보세요,치바 입니다
너 괜찮니?,누군가가 나를 망치로 거꾸로 때린 것 같아.
뭐가 문제야?,내 문제는 맨탄 뉴 밀레니엄 민스트렐 쇼야
내 문제는 맨탄 뉴 밀레니엄 민스트렐 쇼야,그걸 만들고 싶지 않다면 왜 그런 걸 생각해 냈어?
그걸 만들고 싶지 않다면 왜 그런 걸 생각해 냈어?,"원칙이었다. 던위티는 깨달아야만 했다. 나는 주장을 하고 있었다. 나는 내 일을 자랑스럽게 여긴다. 게다가, 난 이미 내 돈에서 도망가지 않을 거라고 말했잖아."
"원칙이었다. 던위티는 깨달아야만 했다. 나는 주장을 하고 있었다. 나는 내 일을 자랑스럽게 여긴다. 게다가, 난 이미 내 돈에서 도망가지 않을 거라고 말했잖아.",빌어먹을 돈. 왜 이 모든 노력을 다했는가? 왜? 던위티에게 사랑을 찾고 있는가? 존중을 위해서? 던위티랑 걔네들은 너에 대해 신경도 안 써 그래서 이제 어떻게 할 거야?
"돈이 문제가 되지 않았더라도, 던위티는 여전히 나 없이 진행될 것이고 그것은 더 위험할 수 있다.",맨탄이 픽업될 가능성은?
맨탄이 픽업될 가능성은?,나는 그것에 대해 내기를 걸지 않을 것이다. 내 네그로이드 엉덩이는 속담 바위와 딱딱한 곳 사이에 끼어 있다.
나는 그것에 대해 내기를 걸지 않을 것이다. 내 네그로이드 엉덩이는 속담 바위와 딱딱한 곳 사이에 끼어 있다.,"내가 말했듯이, 이 모든 것은 왜곡되고 왜곡된 주체의식을 위해서야. 던위티, 니네그로이드 엉덩이만 봐주고 존중하지 않아"
"안녕하십니까, 나를 모르는 분들을 위해 나는 피에르 들라크루아입니다. 난 일을 하고 있고 여긴 내 조수 슬론 홉킨스야",여보세요
여보세요,"나는 너희 중 누구와도 일한 적이 없고 너도 나와 함께 일한 적이 없으니 우리는 처음부터 다시 시작할 거야. 나는 공정한 사람이고, 스트레이트 슈터고, 혀를 내두르지 않는다. 여기 있는 모든 사람들은 내가 네가 고용된 것과 아무 관련이 없다는 것을 알아야 해."
이 그룹이 내가 말했던 그 그룹이야.,어느 쪽이 네 동생이니?
어느 쪽이 네 동생이니?,큰 거.
넌 이미 그렇게 말했잖아.,손목을 긋겠다. 목을 베다. 조셉의 사랑을 위하여.
행운을 빈다.,행운을 빌어!
네 인생은 결코 예전 같지 않을 거야.,그가 준비를 할 수 있도록 그 사람을 평화롭게 내버려 두자.
그가 준비를 할 수 있도록 그 사람을 평화롭게 내버려 두자.,우리 둘 다 그에게 거짓말을 했어.
우리 둘 다 그에게 거짓말을 했어.,내가 무슨 말을 하길 바라니?
내가 무슨 말을 하길 바라니?,나한테 거짓말하지 마.
여기도 마찬가지야.,그 기쁨은 나의 것이다.
내 동생과 마우-마우스에 대해 사과하고 싶어. 너한테 강요하지 말았어야 했어.,"넌 가족을 위해 해야 할 일을 했을 뿐이야 동생한테 한 방 먹였잖아 기회, 기회, 기회, 기회를 바라는 건 그게 다야 그는 그의 것을 얻었다."
누구 편이야?,"미안해, 난 어쩔 수 없어. 너무 웃겨."
그들의 반응은 어떨까? 나는 가장 안개가 심하지 않았다.,다들 입 다물어.
"그럼 작은 승리를 거두셨군요, 이제 어떻게 하시겠습니까?",지는 데 익숙해졌을 때 작은 승리는 그리 작지 않다.
이게 뭐야?,선물
선물,뭐 때문이지요?
뭐 때문이지요?,"네가 어떻게 생각하든, 넌 뭔가 독특한 걸 생각해냈어. 열어봐."
졸리 나이거 은행.,"이것은 세기의 전환기를 맞이하는, 책망하는 것이 아닌 책망이다."
"이것은 세기의 전환기를 맞이하는, 책망하는 것이 아닌 책망이다.",고마워
고마워,나는 그것이 연관되어 있다고 생각했다.
나는 그것이 연관되어 있다고 생각했다.,그게 좋아 나빠?
그게 좋아 나빠?,"다 좋다. 히트 쇼가 있으면 은행이 필요할 거야 게다가, 나는 이 오래된 검은 수집품들을 좋아한다."
"다 좋다. 히트 쇼가 있으면 은행이 필요할 거야 게다가, 나는 이 오래된 검은 수집품들을 좋아한다.",어째서 그렇습니까?
어째서 그렇습니까?,"나에게 있어, 그것은 우리가 열등하고 인간 이하의 존재로 여겨졌던 이 나라의 역사의 일부를 보여준다."
왜 그랬어?,듣기 싫다.
듣기 싫다.,함본이랑 같이 지낸 지 얼마나 됐어?
함본이랑 같이 지낸 지 얼마나 됐어?,우릴 하나로 만든 건 너야 우리는 친구다.
우릴 하나로 만든 건 너야 우리는 친구다.,네 그 미친 형은 그렇게 생각하지 않아.
네 그 미친 형은 그렇게 생각하지 않아.,그는 그냥 큰형 역할을 하고 있어.
그는 그냥 큰형 역할을 하고 있어.,"오, 그가요? 맨탄이랑 지겨워?"
"오, 그가요? 맨탄이랑 지겨워?",제발 거기 가지 마.
제발 거기 가지 마.,던위티와 나는 네가 너무 가까이 다가가서 그의 마음을 엉망으로 만들고 있는 것 같아.
던위티와 나는 네가 너무 가까이 다가가서 그의 마음을 엉망으로 만들고 있는 것 같아.,"나는 그에게 거짓말을 할 수 없다. 만약 그가 나에게 무언가를 묻는다면, 나는 그에게 내 생각을 말해준다."
"나는 그에게 거짓말을 할 수 없다. 만약 그가 나에게 무언가를 묻는다면, 나는 그에게 내 생각을 말해준다.",그렇게 솔직하게 말해야 해?
"델라, 언제 한번 해봐. 빛으로 들어오다.",빛?
빛?,어둠 속에 숨겨져 있던 것이 지금 빛 속에 있다. 이 피 한 통.
어둠 속에 숨겨져 있던 것이 지금 빛 속에 있다. 이 피 한 통.,"네가 원한다면 그 모든 말들을 할 수 있지만 네 손은 피투성이야. 내가 어디서 큰 실수를 했는지 알아. 난 일반적인 규칙이 있어, 너보다 더 미친 사람과 절대 연애하지 마."
이건 미친 짓이야.,그래서 그렇게 재미있을 거야.
그것은 실수였지만 나는 후회하지 않는다.,처음이자 유일한 시간. 큰 실수 하나. 만탄을 더 이상 보지 말아 달라고 부탁해야겠어.
처음이자 유일한 시간. 큰 실수 하나. 만탄을 더 이상 보지 말아 달라고 부탁해야겠어.,관련된 일인가 아니면 다른 일인가?
그렇지 않으면. 난 네가 차이를 알고 있다고 믿어. 넌 뉴욕대학에서 끝난 똑똑한 여자야.,"델라, 내 크고 검은 엉덩이에 키스해."
"델라, 내 크고 검은 엉덩이에 키스해.",그렇게 해서 애초에 날 끌어들인 거야
내가 이걸 쓰게 만들지 마.,뉴욕대학에서 공부한 게 아닌 줄 알았는데
내가 말했잖아. 하지만 넌 듣지 않았어. 내 말 안 들었잖아,총 이리 줘.
"네, 성함이요?","그는, 나는 모나야."
"그는, 나는 모나야.","안녕, 모나."
"안녕, 모나.",난 네가 어디서 왔는지 완벽하게 이해해. 소수자로서 나는 또한 당신의 투쟁에 공감할 수 있다. 하지만 난 네가 우리 모두에게 기회를 줘야 한다고 생각해. 우리는 이 파일럿이 너만큼 성공하기를 바란다. 부디 우리의 순백만을 보고 그렇게 빨리 판단하지 마십시오.
난 네가 어디서 왔는지 완벽하게 이해해. 소수자로서 나는 또한 당신의 투쟁에 공감할 수 있다. 하지만 난 네가 우리 모두에게 기회를 줘야 한다고 생각해. 우리는 이 파일럿이 너만큼 성공하기를 바란다. 부디 우리의 순백만을 보고 그렇게 빨리 판단하지 마십시오.,"아, 그게 내가 하고 있는 일인가?"
"이건 조작됐고, 갑판도 쌓였고, 고정장치도 박혔어. 돈 킹이 가까이 있을 수 있을까? 슬론이 내 뒤를 봐줘서 다행이야 그녀는 나의 록이다. 이건 정말 많은 일이 될 것 같았다.","데이비드, 너의 코멘트에 감사해. 아이디어 있는 사람? 모두 큰 소리로 얘기해라."
"데이비드, 너의 코멘트에 감사해. 아이디어 있는 사람? 모두 큰 소리로 얘기해라.","나는 항상 로완과 마틴의 ""LOP-IN""의 형식을 좋아했다."
나는 우리 모두가 행복하다. 단지 지금 우리에게 큰 책임이 있다. 압력이 가해져 있다.,"압박? 델라, 넌 진짜 압박감이 뭔지 몰라 쉬엣!!! 이것은 경량이다. 이제 당신이 1월 겨울에 거리로 뛰쳐나올 때 매가 당신에게 돈이나 돈 전망 없이 곧 말할 때, 이제 약간의 압박이 있다."
"압박? 델라, 넌 진짜 압박감이 뭔지 몰라 쉬엣!!! 이것은 경량이다. 이제 당신이 1월 겨울에 거리로 뛰쳐나올 때 매가 당신에게 돈이나 돈 전망 없이 곧 말할 때, 이제 약간의 압박이 있다.",그런 소리 하려던 건 아니었어.
"그렇게 나온 것이다. 한 가지만 물어볼게. 당신은 가난하고, 당신의 모든 특권적인 삶을 곤경에 처한 적이 있는가?","이제 내가 특권이라고?! 왜? 내가 식권이나 복지를 안 해서? 내가 집에 마분지 상자를 부르지 않아서? 아니, 난 절대 배고픈 적 없고 자랑스러워. 가난하게 사는 게 명예의 배지라고 누가 말했든 거짓말은 하지 마"
"이제 내가 특권이라고?! 왜? 내가 식권이나 복지를 안 해서? 내가 집에 마분지 상자를 부르지 않아서? 아니, 난 절대 배고픈 적 없고 자랑스러워. 가난하게 사는 게 명예의 배지라고 누가 말했든 거짓말은 하지 마",내가 말하고자 하는 요점은 이것이 축복이라는 것이다. 재밌을 것 같은데 우리 다 그렇게 봐야지.
나도 키스해도 돼?,"아니, 내가 영점 가져갈게"
"아니, 내가 영점 가져갈게",긴장 안 하고 기분 좋아?
긴장 안 하고 기분 좋아?,나는 기분이 좋다.
나는 기분이 좋다.,긴장 안 해? 느긋해?
긴장 안 해? 느긋해?,"슬론, 내가 준비할 수 있게 네 보스 좀 데리고 나가줄래?"
그래서 그들은 TV에 나올 수 있다.,언론처럼 말하는군
언론처럼 말하는군,이건 아무것도 아니야. 그것은 내일이면 끝날 것이다.
이건 아무것도 아니야. 그것은 내일이면 끝날 것이다.,줄리아니도 같은 말을 했다.
줄리아니도 같은 말을 했다.,내일은 동물 학대나 섹스 스캔들에 관한 모든 것이 될 것이다. 게다가 나쁜 홍보 같은 것은 없다.
농담이 아니에요. 진지한,나에게도 같은 일이 일어나지 않기를 바란다. 그것은 채워야 할 큰 신발이다.
나에게도 같은 일이 일어나지 않기를 바란다. 그것은 채워야 할 큰 신발이다.,이윽고
넌 뭐야? 남자야 쥐야? 너 펑크야? 날 놀리는 거야?,아뇨
아뇨,네가 하는 일을 싫어하는 사람들이 있어서 무서워지는 거야?
네가 하는 일을 싫어하는 사람들이 있어서 무서워지는 거야?,"Dela, 그들은 내 검은 엉덩이를 dat pit에 묶으려고 했어."
가장 시궁창에서 가장 높은 곳까지 오셨군요. 네가 땀 흘리는 걸 그들이 보게 해서는 안 된다는 걸 모르니? 무슨 말인지 알지?무슨 소리야?,네
네,그리고 지금은 확실히 망칠 때가 아니다.
슬론 때문에 나한테 화내면 안 돼,네가 한 짓은 완전히 잘못된 거야.
네가 한 짓은 완전히 잘못된 거야.,"아, 그렇습니까? 친구야, 이 사업에서 사람들이 생산하지 않으면 해고당해."
"아, 그렇습니까? 친구야, 이 사업에서 사람들이 생산하지 않으면 해고당해.",슬론은 내가 만난 사람 중에서 가장 열심히 일하는 사람이야.
슬론은 내가 만난 사람 중에서 가장 열심히 일하는 사람이야.,"실례가 안 된다면 한 가지 물어볼게. 애초에 어떻게 그녀가 그 직장을 잡았다고 생각해? 네 거품을 터뜨리려는 건 아니지만, 경이로운 만탄은 기회야."
"실례가 안 된다면 한 가지 물어볼게. 애초에 어떻게 그녀가 그 직장을 잡았다고 생각해? 네 거품을 터뜨리려는 건 아니지만, 경이로운 만탄은 기회야.",난 믿지 않아.
난 믿지 않아.,상세히 설명해야 해요? 가서 슬론한테 직접 물어봐
"맨탄, 테이프가 있어","내 이름은 맨레이, 빌어먹을."
"내 이름은 맨레이, 빌어먹을.","국과 강, 맨레이야. 테이핑을 합시다. 탈의실로 돌아가서 옷을 입고 검게 그을려"
날 바보로 생각하겠지,맛있어보인다
맛있어보인다,내가 너한테 말하는 거 들었지? 뭔가 잘못됐을 때 여기 올라오는 유일한 시간.
내가 너한테 말하는 거 들었지? 뭔가 잘못됐을 때 여기 올라오는 유일한 시간.,"엄마, 내가 배은망덕한 아들 짓이라는 것부터 시작하지 마"
"엄마, 내가 배은망덕한 아들 짓이라는 것부터 시작하지 마",나는 그런 말은 하지 않았다. 내가 한 말은 뭔가 잘못된 것이 틀림없다는 것뿐이었다.
음식은 어때?,"망치로 이길 수 없다. 음, 네가 물어봤으니, 새로운 쇼가 있을 것 같은데, 조종사가 총에 맞았어"
"망치로 이길 수 없다. 음, 네가 물어봤으니, 새로운 쇼가 있을 것 같은데, 조종사가 총에 맞았어","정말 근사해요. 당신만의 아니었나 항상 원해 왔던,요?"
"그랬어, 맞아 하지만 이것은 다른 종류의 쇼다.","처음에 네가 원하는 게 아니라면, 더 열심히 일해, 비길 데 없어."
"처음에 네가 원하는 게 아니라면, 더 열심히 일해, 비길 데 없어.","엄마, 제발 그렇게 부르지 마"
"엄마, 제발 그렇게 부르지 마","아들아, 비길 데 없는 게 네 이름이야. 이제 당신은 이런 헐리우드 타입 중 한 명이 될 수도 있고, 당신의 이름과 그 모든 것을 바꿔라. 하지만 피어리스 도탄은 당신의 출생 증명서에 있다."
"아들아, 비길 데 없는 게 네 이름이야. 이제 당신은 이런 헐리우드 타입 중 한 명이 될 수도 있고, 당신의 이름과 그 모든 것을 바꿔라. 하지만 피어리스 도탄은 당신의 출생 증명서에 있다.",출생증명서에 뭐가 있는지 알아. 아빠한테 연락했어?
출생증명서에 뭐가 있는지 알아. 아빠한테 연락했어?,아직 길 위에 있는 것 같아. 이게 무슨 쇼야? 그들은 완충이 되지 않은 채 그 안에 있는 흑인인가?
아직 길 위에 있는 것 같아. 이게 무슨 쇼야? 그들은 완충이 되지 않은 채 그 안에 있는 흑인인가?,"당신의 질문에 대답하자면, 그 안에는 많은 흑인들이 있는데, 당신의 버퍼에 대한 정의는 무엇인가?"
"당신의 질문에 대답하자면, 그 안에는 많은 흑인들이 있는데, 당신의 버퍼에 대한 정의는 무엇인가?","비길 데 없이, 나는 버푼을 키우지 않았다. 우리는 이미 텔레비전에 나오는 것들은 충분히 가지고 있다."
"비길 데 없이, 나는 버푼을 키우지 않았다. 우리는 이미 텔레비전에 나오는 것들은 충분히 가지고 있다.",아빠한테 연락이 오면 알려줘 번호나 뭐 그런 거 알아봐.
아빠한테 연락이 오면 알려줘 번호나 뭐 그런 거 알아봐.,그럴게. 그리고 네 쇼에 행운을 빌어. 큰 성공이 되었으면 좋겠다. 고생 많으셨습니다. 네가 매를 버는구나
"비길 데 없이, 네 아버지가 전화했어",금방 갈게.
그는 네가 와서 그를 보길 원한다.,그가 그렇게 말했어?
그가 그렇게 말했어?,"응, 그랬어."
"응, 그랬어.",그는 어디에 있니?
그는 어디에 있니?,버지니아 주 리치몬드 외곽에서 공연을 하고 있어
버지니아 주 리치몬드 외곽에서 공연을 하고 있어,남쪽으로 쭉 내려갈 수는 없다.
리치몬드는 남쪽으로 내려오지 않았다.,네가 왜 아직도 그를 걱정하는지도 모르겠어. 아빠는 너와 함께 있지 않아.
네가 왜 아직도 그를 걱정하는지도 모르겠어. 아빠는 너와 함께 있지 않아.,"어쨌든, 그는 여전히 네 아버지야."
"어쨌든, 그는 여전히 네 아버지야.",쇼가 시작되면 난 도망치기 힘들 거야.
쇼가 시작되면 난 도망치기 힘들 거야.,그를 만나야 할 더 많은 이유가 있다. 그는 너의 성공에 매우 기뻐할 것이다.
그를 만나야 할 더 많은 이유가 있다. 그는 너의 성공에 매우 기뻐할 것이다.,"엄마, 엄마. 아빠는 내가 한 어떤 일에도 감명을 받지 않으셨어. 내 5학년 철자 맞추기 대회에서 우승한 것부터 현재까지."
"엄마, 엄마. 아빠는 내가 한 어떤 일에도 감명을 받지 않으셨어. 내 5학년 철자 맞추기 대회에서 우승한 것부터 현재까지.","비길 데 없이, 지난번에는 아버지를 만나러 가봐."
"난 잘 지내고 있어. 네 쇼에 대해 읽고 있었어, 모든 게 다 끝났어. 사방에 다 있는 걸 봤어 나는 그것을 한 번 보았다. 나는 네가 버퍼링이 없을 거라고 말한 줄 알았어.",너도 날 공격할 거야 그 쇼는 대성공이다. 나 때문에 행복하지 않니?
너도 날 공격할 거야 그 쇼는 대성공이다. 나 때문에 행복하지 않니?,물론 나는 너를 위해 행복하다. 너는 성공을 위해 매우 열심히 일했구나.
물론 나는 너를 위해 행복하다. 너는 성공을 위해 매우 열심히 일했구나.,"그래, 아주 열심히 했어. 아빠한테 전화했어?"
"그래, 아주 열심히 했어. 아빠한테 전화했어?",아뇨
아뇨,천만에?
천만에?,네 아빠가 어떤지 알잖아
네 아빠가 어떤지 알잖아,"만약 그가 전화하면, 만탄을 봤는지 물어보는 것을 잊지 마라."
"만약 그가 전화하면, 만탄을 봤는지 물어보는 것을 잊지 마라.",잊지 않을게. 언제 어머니를 뵈러 오십니까?
잊지 않을게. 언제 어머니를 뵈러 오십니까?,곧.
"만나서 반가워. 만약 내가 너에게 물어봐도 괜찮다면, 너는 몇 살이니?",나는 이제 막 스무 살이 되었다.
어디서 오셨어요?,핀란드의 수도인 헬싱키.
핀란드의 수도인 헬싱키.,핀란드의
핀란드의,핀란디아 보드카 알지?
핀란디아 보드카 알지?,"그래, 나도 알아. 쥬카, 전에 흑인을 본 적이 있는가? 전에 진짜 흑인과 진짜 대화를 나눈 적이 있어?"
"그래, 나도 알아. 쥬카, 전에 흑인을 본 적이 있는가? 전에 진짜 흑인과 진짜 대화를 나눈 적이 있어?",흑인이란 무엇인가.
대실패. 재앙. 붕도글. 혐오스러운.,방금 나한테 흑인이 뭐냐고 물어봤어? 나는 NEGRO!!!
방금 나한테 흑인이 뭐냐고 물어봤어? 나는 NEGRO!!!,아!!! 나는 그 말을 들어본 적이 없어. 아프리카계 미국인 흑인인 줄 알았는데 아니야?
아!!! 나는 그 말을 들어본 적이 없어. 아프리카계 미국인 흑인인 줄 알았는데 아니야?,흑인이나 아프리카계 미국인이 있기 전에는 네그로즈가 있었다. 난 흑인이야
흑인이나 아프리카계 미국인이 있기 전에는 네그로즈가 있었다. 난 흑인이야,나의 무지를 고쳐줘서 고마워. 나는 너와 함께 일하기를 고대하고 있어. 우리가 좋은 팀이 되는 것 같아.
어떻게 이 일을 얻었니?,내 비주얼 스타일은 매우 에로틱하고 섹시해. 어때? 섹시해?
내 비주얼 스타일은 매우 에로틱하고 섹시해. 어때? 섹시해?,이건 뮤직비디오가 아니라 TV쇼야.
이건 뮤직비디오가 아니라 TV쇼야.,"그럼 내가 알아야 할 것을 가르쳐 주겠니? 어쩌면 우린 서로에게서 배울지도 몰라, 그게 가능하다면, 아닌가?"
"그럼 내가 알아야 할 것을 가르쳐 주겠니? 어쩌면 우린 서로에게서 배울지도 몰라, 그게 가능하다면, 아닌가?",이것은 희롱이다. 대실패.
"행운을 빈다, 죽카. 잘 보여줘.",정말 고마워. 나는 항상 최선을 다한다.
"여러분 모두 밤샘 시청률을 보셨을 겁니다. 지붕을 통해서. 하지만 이 게임에서는 한 걸음, 두 걸음, 세 걸음 앞서야 한다. 나는 너에게 Myrna Goldfarb를 소개한다. 그녀는 그 사업에서 최고의 미디어 컨설턴트다.","우선, 나는 그 쇼를 사랑한다고 말하고 싶다. 정말 용기있다. 부모님은 알라바마 셀마에서 킹 박사와 함께 행진하셨다."
미르나는 우리가 전략을 세우는 것을 돕기 위해 여기에 왔다.,최선의 방어는 공격이다.
"맨탄 선언서. 캐치 안 그래? 1번. 우리는 카메라 앞과 뒤에 있는 흑인들을 영리하게 고용한다. 둘, 관객이 결정하도록 해 셋. 누가 이 비평가들을 책임지게 했는가? 이른바 문화경찰? 넷. 검은 것이 무엇인지를 누가 결정하느냐? 다섯. 만탄은 풍자다. 6개. 그들이 농담을 받아들일 수 없다면, ""F""라고 해.",우리 모두 이것을 고수한다. 순탄한 항해다.
마이나가 끝내게 해줘.,고마워 그리고 항상 웃는다.
그래 너!,이 쇼는 위협적이지 않은 아프리카계 미국인 남자에 의해 고안된 것이다. 짜잔! 논쟁의 끝. 흑인이라 인종차별이 될 수는 없다.
진짜 한 쌍은 처음이야,공식 훈련도 받은 적 없어?
공식 훈련도 받은 적 없어?,"수업도, 물건도, 그냥 혼자서 물건을 주워왔어."
"수업도, 물건도, 그냥 혼자서 물건을 주워왔어.",너의 타고난 재능이 있었으면 좋겠다. 하느님은 가끔 그 방문을 하십니다.
너의 타고난 재능이 있었으면 좋겠다. 하느님은 가끔 그 방문을 하십니다.,노래하고 춤춘다고?
노래하고 춤춘다고?,조금요. 나는 NYU 영화 학교를 막 졸업했어. 영화 연구.
조금요. 나는 NYU 영화 학교를 막 졸업했어. 영화 연구.,그래서 델라랑 무슨 일이야?
그래서 델라랑 무슨 일이야?,무슨 뜻이야?
무슨 뜻이야?,너랑 걔가 차? 노킹 부츠. 무슨 말인지 알지?난 할 수 있어.
"아니, 우린 부츠를 신고 있는게 아니야. 내가 아직 뉴욕대학에 있을 때 인턴쉽을 받았어. Dela는 내가 일어나서 가서 그의 조수로 나를 고용한 것에 감명을 받았지.",그가 감명받은 건 그것뿐이었을 거야. 그렇게 예뻐 보이네.
그가 감명받은 건 그것뿐이었을 거야. 그렇게 예뻐 보이네.,"만약 그게 칭찬이라면, 고마워."
"만약 그게 칭찬이라면, 고마워.",천만에요. 공연을 포기해서는 안 된다.
천만에요. 공연을 포기해서는 안 된다.,왜 그런 말을 해? 넌 날 본 적이 없어
왜 그런 말을 해? 넌 날 본 적이 없어,"그렇게 하면 아마 네가 제일 행복할 것 같아. 내가 후핑을 할 때, 정말로 내 일을 하고, 부딪치고, 세상 그 감정과 비교할 수 있는 것은 아무것도 없다."
"그렇게 하면 아마 네가 제일 행복할 것 같아. 내가 후핑을 할 때, 정말로 내 일을 하고, 부딪치고, 세상 그 감정과 비교할 수 있는 것은 아무것도 없다.",부럽다. 그것이 내가 내 일에 대해 느끼고 싶은 방법이다.
오늘 밤 우리의 게스트는 특별하고 재능있는 만탄이다. 와줘서 고마워,"타비스, 날 초대해줘서 고마워"
"타비스, 날 초대해줘서 고마워","시작하기 전에, 첫 텔레비전 인터뷰에 내 쇼에 나와줘서 고마워. 마이크 월러스, 바바라 월터스, 제인 폴리, 네가 여기 있는 것 말고는 뭘 선택할 수도 있었을 텐데."
"시작하기 전에, 첫 텔레비전 인터뷰에 내 쇼에 나와줘서 고마워. 마이크 월러스, 바바라 월터스, 제인 폴리, 네가 여기 있는 것 말고는 뭘 선택할 수도 있었을 텐데.",난 내 사람들이랑 있으면 더 편해.
난 내 사람들이랑 있으면 더 편해.,"바로 뛰어들자. 당신의 쇼는 논쟁의 세계를 불러일으켰고, 대화 분위기를 자극했다. 이 모든 것을 어떻게 보십니까?"
"바로 뛰어들자. 당신의 쇼는 논쟁의 세계를 불러일으켰고, 대화 분위기를 자극했다. 이 모든 것을 어떻게 보십니까?","타비스, 확인해봐 이것이 2-1, 21세기인데, 모든 것이 돈 문제야. 내 남자 마세가 말하는 것처럼, ""벤자민타에 관한 모든 것이다."""
돈만 빼고?,"돈이 세상을 움직여요. 가난하다는 것은 장난이 아니다. 난 내가 뭘 말하는지 알아. 무슨 말인지 알지?무슨 소리야? 나는 길거리에서 살아왔다. 나는 노숙자였다. 게임하는 법도 배웠고, 게임하는 법도 배웠고, 게임하는 법도 배웠고."
"돈이 세상을 움직여요. 가난하다는 것은 장난이 아니다. 난 내가 뭘 말하는지 알아. 무슨 말인지 알지?무슨 소리야? 나는 길거리에서 살아왔다. 나는 노숙자였다. 게임하는 법도 배웠고, 게임하는 법도 배웠고, 게임하는 법도 배웠고.",어쩔 수 없는 게임인가?
